Position, Velocity, Delta Time, 
0.000295, 0.011788, 50, 
0.001016, 0.014421, 50, 
0.003668, 0.053048, 50, 
0.008384, 0.094307, 50, 
0.015751, 0.147355, 50, 
0.026361, 0.212192, 50, 
0.040802, 0.288816, 50, 
0.059663, 0.377230, 50, 
0.083535, 0.477431, 50, 
0.113006, 0.589421, 50, 
0.148666, 0.713200, 50, 
0.191104, 0.848767, 50, 
0.240910, 0.996122, 50, 
0.298673, 1.155266, 50, 
0.364983, 1.326198, 50, 
0.440429, 1.508918, 50, 
0.525306, 1.697533, 50, 
0.619613, 1.886148, 50, 
0.723351, 2.074763, 50, 
0.836520, 2.263377, 50, 
0.959120, 2.451992, 50, 
1.091150, 2.640607, 50, 
1.232611, 2.829222, 50, 
1.383503, 3.017837, 50, 
1.543826, 3.206451, 50, 
1.713579, 3.395066, 50, 
1.892763, 3.583681, 50, 
2.081378, 3.772296, 50, 
2.279423, 3.960911, 50, 
2.486900, 4.149525, 50, 
2.703807, 4.338140, 50, 
2.930144, 4.526755, 50, 
3.165913, 4.715370, 50, 
3.411112, 4.903984, 50, 
3.665742, 5.092599, 50, 
3.929803, 5.281214, 50, 
4.203294, 5.469829, 50, 
4.486216, 5.658444, 50, 
4.778569, 5.847058, 50, 
5.080353, 6.035673, 50, 
5.391567, 6.224288, 50, 
5.712213, 6.412903, 50, 
6.042288, 6.601518, 50, 
6.381795, 6.790132, 50, 
6.730732, 6.978747, 50, 
7.089101, 7.167362, 50, 
7.456899, 7.355977, 50, 
7.834129, 7.544591, 50, 
8.220789, 7.733206, 50, 
8.616880, 7.921821, 50, 
9.022402, 8.110436, 50, 
9.437355, 8.299051, 50, 
9.861738, 8.487665, 50, 
10.295552, 8.676280, 50, 
10.738797, 8.864895, 50, 
11.191472, 9.053510, 50, 
11.653578, 9.242125, 50, 
12.125115, 9.430739, 50, 
12.606083, 9.619354, 50, 
13.096481, 9.807969, 50, 
13.596311, 9.996584, 50, 
14.105571, 10.185198, 50, 
14.624261, 10.373813, 50, 
15.152383, 10.562428, 50, 
15.689935, 10.751043, 50, 
16.236918, 10.939658, 50, 
16.793331, 11.128272, 50, 
17.359176, 11.316887, 50, 
17.934451, 11.505502, 50, 
18.519157, 11.694117, 50, 
19.113293, 11.882732, 50, 
19.716860, 12.071346, 50, 
20.329859, 12.259961, 50, 
20.952287, 12.448576, 50, 
21.584147, 12.637191, 50, 
22.225437, 12.825805, 50, 
22.876158, 13.014420, 50, 
23.536310, 13.203035, 50, 
24.205892, 13.391650, 50, 
24.884906, 13.580265, 50, 
25.573350, 13.768879, 50, 
26.271224, 13.957494, 50, 
26.978530, 14.146109, 50, 
27.695266, 14.334724, 50, 
28.421433, 14.523339, 50, 
29.157031, 14.711953, 50, 
29.902059, 14.900568, 50, 
30.656518, 15.089183, 50, 
31.420408, 15.277798, 50, 
32.193729, 15.466412, 50, 
32.976480, 15.655027, 50, 
33.768662, 15.843642, 50, 
34.570275, 16.032257, 50, 
35.381318, 16.220872, 50, 
36.201793, 16.409486, 50, 
37.031698, 16.598101, 50, 
37.871034, 16.786716, 50, 
38.719800, 16.975331, 50, 
39.577997, 17.163946, 50, 
40.445626, 17.352560, 50, 
41.322684, 17.541175, 50, 
42.209174, 17.729790, 50, 
43.105094, 17.918405, 50, 
44.010445, 18.107020, 50, 
44.925227, 18.295634, 50, 
45.849439, 18.484249, 50, 
46.783082, 18.672864, 50, 
47.726156, 18.861479, 50, 
48.678661, 19.050093, 50, 
49.640596, 19.238708, 50, 
50.611962, 19.427323, 50, 
51.592759, 19.615938, 50, 
52.582987, 19.804553, 50, 
53.582645, 19.993167, 50, 
54.591734, 20.181782, 50, 
55.610254, 20.370397, 50, 
56.638205, 20.559012, 50, 
57.675586, 20.747627, 50, 
58.722398, 20.936241, 50, 
59.778641, 21.124856, 50, 
60.844315, 21.313471, 50, 
61.919419, 21.502086, 50, 
63.003954, 21.690700, 50, 
64.097920, 21.879315, 50, 
65.201316, 22.067930, 50, 
66.314143, 22.256545, 50, 
67.436401, 22.445160, 50, 
68.568090, 22.633774, 50, 
69.709210, 22.822389, 50, 
70.859760, 23.011004, 50, 
72.019741, 23.199619, 50, 
73.189152, 23.388234, 50, 
74.367995, 23.576848, 50, 
75.608574, 24.811586, 50, 
77.014544, 28.119387, 50, 
78.429842, 28.305974, 50, 
79.853926, 28.481680, 50, 
81.286241, 28.646302, 50, 
82.726229, 28.799762, 50, 
84.173335, 28.942104, 50, 
85.627009, 29.073490, 50, 
87.086719, 29.194200, 50, 
88.551950, 29.304612, 50, 
90.022210, 29.405196, 50, 
91.496699, 29.489781, 50, 
92.974319, 29.552405, 50, 
94.454017, 29.593971, 50, 
95.934788, 29.615418, 50, 
97.415674, 29.617707, 50, 
98.895763, 29.601790, 50, 
100.374193, 29.568598, 50, 
101.850144, 29.519022, 50, 
103.322839, 29.453900, 50, 
104.791540, 29.374008, 50, 
106.255542, 29.280057, 50, 
107.714177, 29.172685, 50, 
109.166800, 29.052461, 50, 
110.612794, 28.919883, 50, 
112.051563, 28.775381, 50, 
113.482247, 28.613684, 50, 
114.904009, 28.435230, 50, 
116.316308, 28.245983, 50, 
117.718615, 28.046156, 50, 
119.110412, 27.835923, 50, 
120.491183, 27.615428, 50, 
121.860422, 27.384790, 50, 
123.217628, 27.144110, 50, 
124.562302, 26.893474, 50, 
125.893950, 26.632964, 50, 
127.212083, 26.362659, 50, 
128.516215, 26.082641, 50, 
129.805865, 25.793000, 50, 
131.080557, 25.493837, 50, 
132.339820, 25.185270, 50, 
133.583192, 24.867434, 50, 
134.810474, 24.545643, 50, 
136.021754, 24.225590, 50, 
137.217140, 23.907734, 50, 
138.396743, 23.592049, 50, 
139.560670, 23.278540, 50, 
140.709032, 22.967237, 50, 
141.841942, 22.658203, 50, 
142.959518, 22.351527, 50, 
144.061885, 22.047328, 50, 
145.149172, 21.745754, 50, 
146.221521, 21.446981, 50, 
147.279082, 21.151208, 50, 
148.322015, 20.858662, 50, 
149.350494, 20.569588, 50, 
150.364707, 20.284251, 50, 
151.364853, 20.002931, 50, 
152.351149, 19.725916, 50, 
153.323824, 19.453502, 50, 
154.283123, 19.185984, 50, 
155.229306, 18.923651, 50, 
156.162645, 18.666781, 50, 
157.083427, 18.415636, 50, 
157.991950, 18.170453, 50, 
158.888522, 17.931440, 50, 
159.773460, 17.698771, 50, 
160.647089, 17.472581, 50, 
161.509737, 17.252962, 50, 
162.361735, 17.039962, 50, 
163.203414, 16.833576, 50, 
164.035102, 16.633756, 50, 
164.857122, 16.440402, 50, 
165.669790, 16.253368, 50, 
166.473413, 16.072462, 50, 
167.267427, 15.880264, 50, 
168.044597, 15.543402, 50, 
168.804898, 15.206020, 50, 
169.548010, 14.862237, 50, 
170.273617, 14.512150, 50, 
170.981415, 14.155965, 50, 
171.671116, 13.794019, 50, 
172.342457, 13.426806, 50, 
172.995206, 13.054997, 50, 
173.629180, 12.679473, 50, 
174.244247, 12.301346, 50, 
174.840346, 11.921979, 50, 
175.417497, 11.543003, 50, 
175.975813, 11.166322, 50, 
176.515518, 10.794106, 50, 
177.036957, 10.428771, 50, 
177.540603, 10.072934, 50, 
178.027071, 9.729353, 50, 
178.497113, 9.400847, 50, 
178.951623, 9.090187, 50, 
179.391622, 8.799987, 50, 
179.818251, 8.532578, 50, 
180.232745, 8.289888, 50, 
180.636412, 8.073332, 50, 
181.030599, 7.883735, 50, 
181.416662, 7.721275, 50, 
181.795936, 7.585473, 50, 
182.169697, 7.475221, 50, 
182.539139, 7.388848, 50, 
182.905350, 7.324209, 50, 
183.269290, 7.278806, 50, 
183.631785, 7.249906, 50, 
183.993519, 7.234667, 50, 
184.355031, 7.230249, 50, 
184.716727, 7.233908, 50, 
185.078880, 7.243075, 50, 
185.441651, 7.255409, 50, 
185.805092, 7.268827, 50, 
186.169169, 7.281526, 50, 
186.533768, 7.291981, 50, 
186.898714, 7.298932, 50, 
187.263783, 7.301371, 50, 
187.628709, 7.298515, 50, 
187.993198, 7.289781, 50, 
188.356935, 7.274759, 50, 
188.719595, 7.253186, 50, 
189.080841, 7.224924, 50, 
189.440338, 7.189934, 50, 
189.797751, 7.148259, 50, 
190.152751, 7.100007, 50, 
190.505018, 7.045334, 50, 
190.854239, 6.984433, 50, 
191.200116, 6.917524, 50, 
191.542358, 6.844847, 50, 
191.880690, 6.766649, 50, 
192.214850, 6.683186, 50, 
192.544585, 6.594716, 50, 
192.869660, 6.501491, 50, 
193.189848, 6.403763, 50, 
193.504937, 6.301773, 50, 
193.814725, 6.195758, 50, 
194.119022, 6.085943, 50, 
194.417649, 5.972546, 50, 
194.710438, 5.855773, 50, 
194.997229, 5.735821, 50, 
195.277873, 5.612878, 50, 
195.552229, 5.487120, 50, 
195.820164, 5.358716, 50, 
196.081556, 5.227823, 50, 
196.336285, 5.094593, 50, 
196.584244, 4.959166, 50, 
196.825327, 4.821675, 50, 
197.059440, 4.682247, 50, 
197.286490, 4.541000, 50, 
197.506392, 4.398046, 50, 
197.719067, 4.253491, 50, 
197.924438, 4.107434, 50, 
198.122437, 3.959971, 50, 
198.312996, 3.811189, 50, 
198.496055, 3.661173, 50, 
198.671555, 3.510004, 50, 
198.839443, 3.357756, 50, 
198.999668, 3.204501, 50, 
199.152183, 3.050308, 50, 
199.296945, 2.895241, 50, 
199.433914, 2.739363, 50, 
199.563050, 2.582731, 50, 
199.684320, 2.425403, 50, 
199.797692, 2.267433, 50, 
199.903136, 2.108872, 50, 
200.000624, 1.949770, 50, 
200.090133, 1.790175, 50, 
200.171639, 1.630133, 50, 
200.245124, 1.469689, 50, 
200.310568, 1.308887, 50, 
200.368187, 1.152379, 50, 
200.418451, 1.005277, 50, 
200.461855, 0.868089, 50, 
200.498899, 0.740861, 50, 
200.530080, 0.623634, 50, 
200.555902, 0.516441, 50, 
200.576868, 0.419310, 50, 
200.593481, 0.332265, 50, 
200.606247, 0.255324, 50, 
200.615672, 0.188500, 50, 
200.622262, 0.131805, 50, 
200.626525, 0.085246, 50, 
200.628966, 0.048829, 50, 
200.630094, 0.022557, 50, 
200.630416, 0.006431, 50, 
200.630438, 0.000452, 50, 
200.630438, 0.000000, 50, 
